month,id,terrestrial_date,sol,ls,min_temp,pressure
1,inf,2015-08-17 18:53:47.586206976,1077.5747126436781,15.281609195402298,-77.16091954022988,862.4885057471264
2,inf,2015-11-26 18:12:08.089887744,1175.8539325842696,44.258426966292134,-79.93258426966293,889.4550561797753
3,inf,2015-12-26 02:30:00.000000000,1204.40625,75.01041666666667,-83.30729166666667,877.3229166666666
4,inf,2016-02-05 07:32:47.010309376,1244.5,104.3659793814433,-82.74742268041237,806.3298969072165
5,inf,2015-12-03 19:19:43.892617472,1182.6912751677853,132.88590604026845,-79.30872483221476,748.5570469798657
6,inf,2014-09-16 01:18:22.040816384,750.8299319727892,164.89795918367346,-75.29931972789116,745.0544217687075
7,inf,2014-08-10 08:16:54.084507136,715.1056338028169,194.8943661971831,-72.28169014084507,795.1056338028169
8,inf,2014-10-31 18:53:37.021276672,795.3333333333334,224.34751773049646,-68.38297872340425,873.8297872340426
9,inf,2015-01-07 11:06:16.119403008,861.1865671641791,254.05223880597015,-69.17164179104478,913.3059701492538
10,inf,2015-07-04 16:42:51.428571392,1034.669642857143,286.33035714285717,-71.98214285714286,887.3125
11,inf,2015-04-05 20:00:00.000000000,947.2246376811594,314.536231884058,-71.98550724637681,857.0144927536232
12,inf,2015-05-20 19:05:03.614457856,990.9518072289156,344.6927710843373,-74.45180722891567,842.156626506024
